Line_descr;Line_encoding;Category
813-ΑΒΕΡΩΦ-ΠΡΟΥΣΣΗΣ;90;1
814-ΣΧΙΣΤΟΚΑΡΑΒΑΣ-ΠΕΙΡΑΙΑΣ(ΚΥΚΛΙΚΗ);91;0
815-ΓΟΥΔΗ-ΤΑΥΡΟΣ;92;1
816-ΤΑΥΡΟΣ-ΑΓ.ΔΗΜΗΤΡΙΟΣ;206;5
818-ΛΙΜ.ΠΕΡΑΜΑΤΟΣ-ΑΝΩΠΕΡΑΜΑ(ΚΥΚΛΙΚΗ);163;2
819-ΠΕΡΑΜΑ-ΝΕΚΡ.ΣΧΙΣΤΟΥ;177;2
820-ΚΕΡΑΤΣΙΝΙ-ΣΤ.ΝΙΚΑΙΑ-ΔΡΑΠΕΤΣΩΝΑ(ΚΥΚΛΙΚΗ);93;2
821-ΑΓΙΑΑΝΑΣΤΑΣΙΑ-ΣΤ.ΑΓ.ΑΝΤΩΝΙΟΣ(ΚΥΚΛΙΚΗ);94;2
822-ΣΤ.ΑΓ.ΑΝΤΩΝΙΟΣ-ΝΕΑΖΩΗ(ΚΥΚΛΙΚΗ);207;2
823-ΣΤ.ΑΓ.ΑΝΤΩΝΙΟΣ-ΑΓ.ΒΑΣΙΛΕΙΟΣ(ΚΥΚΛΙΚΗ);178;2
824-ΝΕΑΠΟΛΗ-ΑΓ.ΑΝΤΩΝΙΟΣ-ΠΕΙΡΑΙΑΣΑ(ΚΥΚΛΙΚΗ);164;0
825-ΝΕΑΠΟΛΗ-ΑΓ.ΑΝΤΩΝΙΟΣ-ΠΕΙΡΑΙΑΣΒ(ΚΥΚΛΙΚΗ);165;0
826-ΠΕΙΡΑΙΑΣ-ΑΓ.ΜΗΝΑΣ(ΚΥΚΛΙΚΗ);95;0
827-ΠΕΙΡΑΙΑΣ-ΑΣΠΡΑΧΩΜΑΤΑ-ΣΤ.ΝΙΚΑΙΑ(ΚΥΚΛΙΚΗ);96;0
828-ΠΕΙΡΑΙΑΣ-ΘΗΒΩΝ-ΣΤ.ΝΙΚΑΙΑ(ΚΥΚΛΙΚΗ);97;0
829-ΠΑΔΑΑΡΧΑΙΟΣΕΛΑΙΩΝΑΣ-ΣΤ.ΑΙΓΑΛΕΩ-ΠΑΔΑΑΛΣΟΣΑΙΓΑΛΕΩ(ΚΥΚΛΙΚΗ);300;2
830-ΑΓ.ΒΑΡΒΑΡΑ-ΣΤ.ΚΟΡΥΔΑΛΛΟΣ(ΚΥΚΛΙΚΗ);279;2
831-ΠΕΙΡΑΙΑΣ-ΑΙΓΑΛΕΩ;185;0
832-ΕΥΓΕΝΕΙΑ-ΧΑΡΑΥΓΗ-ΠΕΙΡΑΙΑΣΑ(ΚΥΚΛΙΚΗ);99;0
833-ΕΥΓΕΝΕΙΑ-ΧΑΡΑΥΓΗ-ΠΕΙΡΑΙΑΣΒ(ΚΥΚΛΙΚΗ);100;0
836-ΠΛ.ΚΟΥΜΟΥΝΔΟΥΡΟΥ-ΠΑΛΑΣΚΑ;204;5
837-ΑΓΙΑΒΑΡΒΑΡΑ-ΣΤ.ΑΓ.ΒΑΡΒΑΡΑ-ΣΤ.ΑΓ.ΜΑΡΙΝΑ(ΚΥΚΛΙΚΗ);166;2
838-ΟΜΟΝΟΙΑ-ΡΕΝΤΗΣ-ΠΑΛ.ΚΟΚΚΙΝΙΑ(ΚΥΚΛΙΚΗ);101;0
841-ΠΕΡΑΜΑ-ΣΤ.ΝΙΚΑΙΑ(ΚΥΚΛΙΚΗ);234;2
842-ΠΕΡΑΜΑ-ΣΤ.ΚΟΡΥΔΑΛΛΟΣ(ΚΥΚΛΙΚΗ);235;2
843-ΠΕΙΡΑΙΑΣ-ΠΕΡΑΜΑ;102;0
845-ΠΕΙΡΑΙΑΣ-ΕΛΕΥΣΙΝΑ(ΜΕΣΩΘΗΒΩΝ);103;0
