stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
10162,9,ΣΤ. ΥΠΕΡΑΣΤΙΚΩΝ ΛΕΩΦΟΡΕΙΩΝ ΚΗΦΙΣΟΥ,37.99766,23.6991965,http://telematics.oasa.gr/#stationInfo_10162
10164,11,ΑΣΠΡΟΠΥΡΓΟΣ,38.060896,23.598487,http://telematics.oasa.gr/#stationInfo_10164
10165,12,ΑΒΕΡΩΦ,37.9903915,23.7563615,http://telematics.oasa.gr/#stationInfo_10165
10166,13,ΠΡΟΥΣΣΗΣ,37.999785,23.684472,http://telematics.oasa.gr/#stationInfo_10166
10167,14,ΜΑΝΔΡΑ,38.084371,23.4814965,http://telematics.oasa.gr/#stationInfo_10167
10171,15,ΟΜΟΝΟΙΑ ΖΗΝΩΝΟΣ,37.983974,23.723776,http://telematics.oasa.gr/#stationInfo_10171
10172,16,ΡΟΥΠΑΚΙ,38.096348,23.591762,http://telematics.oasa.gr/#stationInfo_10172
10175,18,ΠΛ. ΚΑΝΙΓΓΟΣ,37.98566,23.73113,http://telematics.oasa.gr/#stationInfo_10175
10177,20,ΑΝΩ ΚΥΨΕΛΗ,38.0062135,23.7496075,http://telematics.oasa.gr/#stationInfo_10177
10178,21,ΠΕΤΡΑΛΩΝΑ ,37.9640815,23.6963765,http://telematics.oasa.gr/#stationInfo_10178
10179,22,ΙΠΠΟΚΡΑΤΟΥΣ,37.988318,23.747525,http://telematics.oasa.gr/#stationInfo_10179
10180,23,ΠΡΟΦΗΤΗ ΔΑΝΙΗΛ,37.9892855,23.708955,http://telematics.oasa.gr/#stationInfo_10180
10181,24,ΒΟΤΑΝΙΚΟΣ,37.981483,23.7041245,http://telematics.oasa.gr/#stationInfo_10181
10183,25,ΠΕΙΡΑΙΑΣ,37.9384348,23.6318845,http://telematics.oasa.gr/#stationInfo_10183
10184,26,ΟΜΟΝΟΙΑΣ,37.9832505,23.7277335,http://telematics.oasa.gr/#stationInfo_10184
10188,29,ΠΕΡΙΣΣΟΣ,38.03389,23.7692425,http://telematics.oasa.gr/#stationInfo_10188
10189,30,ΚΑΜΑΤΕΡΟ,38.0544675,23.6930165,http://telematics.oasa.gr/#stationInfo_10189
10190,31,ΛΟΦΟΣ ΣΚΟΥΖΕ,38.003,23.712474,http://telematics.oasa.gr/#stationInfo_10190
