veh_no,vehtyp_code,vehtyp_capacity,vehtyp_full_limit
16170,26,81,77
16171,26,81,77
16172,26,81,77
16173,26,81,77
16174,26,81,77
16175,26,81,77
46107,26,81,77
46108,26,81,77
46110,26,81,77
46111,26,81,77
46112,26,81,77
46113,26,81,77
46114,26,81,77
46115,26,81,77
46116,26,81,77
46117,26,81,77
46118,26,81,77
46119,26,81,77
16005,27,77,73
16008,27,77,73
16009,27,77,73
16010,27,77,73
16011,27,77,73
16012,27,77,73
16013,27,77,73
16014,27,77,73
16025,27,77,73
16026,27,77,73
16027,27,77,73
16028,27,77,73
16029,27,77,73
16135,27,77,73
16136,27,77,73
16137,27,77,73
16138,27,77,73
16143,27,77,73
16144,27,77,73
16145,27,77,73
16146,27,77,73
16147,27,77,73
16148,27,77,73
16149,27,77,73
16150,27,77,73
16151,27,77,73
16152,27,77,73
16153,27,77,73
16156,27,77,73
16157,27,77,73
16142,33,119,113
16154,33,119,113
16155,33,119,113
46192,33,119,113
46193,33,119,113
46194,33,119,113
46195,33,119,113
46196,33,119,113
46206,33,119,113
46207,33,119,113
46208,33,119,113
46213,33,119,113
46214,33,119,113
46215,33,119,113
200489,12,155,147
20410,12,155,147
20502,12,155,147
40402,12,155,147
40403,12,155,147
40406,12,155,147
40408,12,155,147
40409,12,155,147
40411,12,155,147
40412,12,155,147
40413,12,155,147
40414,12,155,147
40416,12,155,147
40417,12,155,147
40418,12,155,147
40419,12,155,147
40420,12,155,147
40421,12,155,147
40422,12,155,147
40424,12,155,147
40426,12,155,147
40428,12,155,147
40429,12,155,147
40431,12,155,147
40432,12,155,147
40434,12,155,147
40435,12,155,147
40437,12,155,147
40438,12,155,147
40440,12,155,147
40442,12,155,147
40443,12,155,147
40448,12,155,147
40449,12,155,147
40450,12,155,147
40451,12,155,147
40453,12,155,147
40454,12,155,147
40455,12,155,147
40456,12,155,147
40457,12,155,147
40459,12,155,147
40460,12,155,147
40461,12,155,147
40462,12,155,147
40463,12,155,147
40464,12,155,147
40465,12,155,147
40466,12,155,147
40467,12,155,147
40471,12,155,147
40472,12,155,147
40473,12,155,147
40474,12,155,147
40475,12,155,147
40478,12,155,147
40481,12,155,147
40482,12,155,147
40483,12,155,147
40530,12,155,147
40552,12,155,147
40553,12,155,147
40554,12,155,147
40555,12,155,147
40556,12,155,147
40557,12,155,147
40558,12,155,147
40559,12,155,147
40560,12,155,147
40561,12,155,147
40562,12,155,147
40563,12,155,147
40564,12,155,147
40565,12,155,147
40567,12,155,147
40571,12,155,147
40573,12,155,147
40574,12,155,147
40575,12,155,147
40577,12,155,147
40578,12,155,147
40579,12,155,147
40580,12,155,147
40581,12,155,147
40582,12,155,147
40585,12,155,147
40586,12,155,147
40587,12,155,147
40588,12,155,147
40589,12,155,147
40590,12,155,147
40591,12,155,147
40592,12,155,147
40593,12,155,147
40594,12,155,147
40595,12,155,147
40596,12,155,147
40597,12,155,147
40700,12,155,147
40703,12,155,147
40706,12,155,147
40707,12,155,147
40709,12,155,147
40710,12,155,147
40711,12,155,147
40713,12,155,147
40716,12,155,147
40717,12,155,147
40718,12,155,147
40719,12,155,147
60484,12,155,147
60485,12,155,147
60486,12,155,147
60487,12,155,147
60488,12,155,147
60489,12,155,147
60490,12,155,147
60491,12,155,147
60492,12,155,147
60493,12,155,147
60494,12,155,147
60495,12,155,147
60496,12,155,147
60497,12,155,147
60500,12,155,147
60501,12,155,147
60503,12,155,147
60504,12,155,147
60505,12,155,147
60506,12,155,147
60507,12,155,147
60508,12,155,147
60509,12,155,147
60510,12,155,147
60511,12,155,147
60512,12,155,147
60513,12,155,147
60514,12,155,147
60515,12,155,147
60516,12,155,147
60517,12,155,147
60518,12,155,147
60519,12,155,147
60520,12,155,147
60521,12,155,147
60522,12,155,147
60523,12,155,147
60524,12,155,147
60525,12,155,147
60526,12,155,147
60527,12,155,147
60528,12,155,147
60529,12,155,147
60531,12,155,147
60533,12,155,147
60535,12,155,147
60537,12,155,147
60539,12,155,147
60540,12,155,147
60543,12,155,147
60544,12,155,147
60545,12,155,147
60548,12,155,147
60550,12,155,147
60551,12,155,147
30701,8,100,95
30702,8,100,95
30703,8,100,95
30704,8,100,95
30706,8,100,95
30707,8,100,95
30708,8,100,95
30709,8,100,95
30710,8,100,95
30713,8,100,95
30714,8,100,95
30716,8,100,95
30717,8,100,95
30718,8,100,95
30719,8,100,95
30720,8,100,95
30721,8,100,95
30722,8,100,95
30723,8,100,95
30724,8,100,95
30727,8,100,95
30728,8,100,95
30729,8,100,95
30730,8,100,95
30731,8,100,95
30732,8,100,95
30733,8,100,95
30734,8,100,95
30735,8,100,95
30736,8,100,95
30737,8,100,95
30739,8,100,95
30740,8,100,95
30741,8,100,95
30742,8,100,95
30743,8,100,95
30745,8,100,95
30746,8,100,95
30747,8,100,95
30748,8,100,95
30749,8,100,95
30750,8,100,95
30751,8,100,95
30752,8,100,95
30753,8,100,95
30754,8,100,95
30755,8,100,95
30756,8,100,95
30757,8,100,95
30758,8,100,95
30759,8,100,95
30760,8,100,95
30761,8,100,95
30762,8,100,95
30763,8,100,95
30764,8,100,95
30765,8,100,95
30767,8,100,95
30768,8,100,95
30769,8,100,95
30770,8,100,95
30771,8,100,95
30772,8,100,95
30774,8,100,95
30775,8,100,95
30776,8,100,95
30777,8,100,95
30778,8,100,95
30779,8,100,95
30780,8,100,95
30782,8,100,95
30783,8,100,95
30785,8,100,95
30786,8,100,95
30788,8,100,95
30789,8,100,95
30793,8,100,95
30794,8,100,95
30795,8,100,95
