Line_descr,Line_encoding,Direction,Stop_id,Stop_encoding,Stop_order,Stop_descr,Stop_lat,Stop_lon
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60035,96,22,ΠΑΡΚΟ,37.9906911,23.7372638
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,61128,67,22,ΜΠΡΑΒΟΥ,37.9707407,23.7090812
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60398,68,23,ΣΤ. ΗΣΑΠ ΠΕΤΡΑΛΩΝΑ,37.9685476,23.707883
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60037,97,23,ΜΟΥΣΤΟΞΥΔΗ,37.9908762,23.740493
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60530,98,24,ΕΥΕΛΠΙΔΩΝ,37.9960924,23.7402744
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60399,69,24,ΑΘΗΝΑΔΩΡΟΥ,37.9673199,23.7070796
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60643,1363,25,Γ.Υ.Σ.,37.9954426,23.7376151
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60531,99,25,ΥΔΡΑΣ,37.9962146,23.7374194
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60400,70,25,ΓΕΦΥΡΕΣ,37.9656039,23.7056861
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60644,1364,26,ΑΓΓΕΛΟΠΟΥΛΟΥ,37.9952568,23.7349775
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,450001,71,26,ΣΤΡΟΦΗ,37.9648068,23.7040727
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60552,29,26,ΙΘΑΚΗΣ,37.9976955,23.7373941
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,450009,72,27,ΘΡΑΚΗΣ,37.9655764,23.7019179
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60551,28,27,ΕΠΤΑΝΗΣΟΥ,37.9961709,23.7352559
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60553,30,27,ΖΑΚΥΝΘΟΥ,37.9994663,23.7389319
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60554,31,28,ΣΚΥΡΟΥ,38.0010166,23.7406598
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60552,29,28,ΙΘΑΚΗΣ,37.9976955,23.7373941
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,450002,73,28,ΑΓ. ΣΟΦΙΑ,37.9646896,23.7005099
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60553,30,29,ΖΑΚΥΝΘΟΥ,37.9994663,23.7389319
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60555,32,29,ΠΛ  ΚΥΨΕΛΗΣ (ΤΕΡΜΑ 036),38.0023813,23.7420444
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,450003,74,29,ΠΑΝΑΓΙΤΣΑ,37.9650451,23.6985389
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60534,100,30,ΠΑΛ. ΤΕΡΜΑ,38.0031479,23.7457469
